,key,kind,items
0,98952_201210,,"{'text': 'У непростий для світу та України час Партія регіонів узяла на себе відповідальність за долю держави.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
1,98952_201210,,"{'text': 'П’ять років «помаранчевого» правління довели Україну до межі економічної та соціальної катастрофи.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
2,98952_201210,,"{'text': 'Від попередньої влади ми отримали у спадок: 15% падіння ВВП, 22% інфляції, знецінену вдвічі гривню, збільшений у 4 рази зовнішній та внутрішній державний борг, скорочені до критичного рівня валютні резерви Нацбанку.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
3,98952_201210,,"{'text': 'Кабальний газовий договір спричинив підвищення комунальних тарифів та падіння рентабельності промисловості.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
4,98952_201210,,"{'text': 'Ми змогли подолати хаос та руїну, стабілізувати ситуацію і створити фундамент для реформ.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
5,98952_201210,,"{'text': 'Партія регіонів пропонує виважену й реалістичну програму формування суспільства вільних та заможних громадян.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
6,98952_201210,,"{'text': 'Шлях ВІД СТАБІЛЬНОСТІ – ДО ДОБРОБУТУ – це шлях національного прогресу заради нової якості життя громадян України!', 'cmp_code': '606.1', 'eu_code': 'NA'}"
7,98952_201210,,"{'text': 'УКРАЇНА – БАГАТОМІЛЬЙОННА ЄВРОПЕЙСЬКА КРАЇНА УСПІШНИХ ЛЮДЕЙ', 'cmp_code': 'H', 'eu_code': 'NA'}"
8,98952_201210,,"{'text': 'Ми все робимо заради великої мети – добробуту всіх українців.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
9,98952_201210,,"{'text': 'Створення належних умов для гідного життя громадян нашої країни – головне завдання Партії регіонів.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
10,98952_201210,,"{'text': 'МІЦНА СІМ’Я – ОСНОВА ЗДОРОВОГО СУСПІЛЬСТВА', 'cmp_code': 'H', 'eu_code': 'NA'}"
11,98952_201210,,"{'text': 'Держава повинна дати можливість молоді «стати на ноги» у своїй країні.', 'cmp_code': '706', 'eu_code': 'NA'}"
12,98952_201210,,"{'text': 'Молоді сім’ї отримають доступне житло завдяки державній іпотеці під 3% річних,', 'cmp_code': '504', 'eu_code': 'NA'}"
13,98952_201210,,"{'text': 'за рахунок соціальних контрактів із роботодавцями.', 'cmp_code': '405', 'eu_code': 'NA'}"
14,98952_201210,,"{'text': 'Допомога при народженні першої дитини в 2012 році складе 28 830 грн, другої – 57 660 грн, третьої – 115 320 грн.', 'cmp_code': '504', 'eu_code': 'NA'}"
15,98952_201210,,"{'text': 'Це у два рази більше, ніж у 2008 році.', 'cmp_code': '504', 'eu_code': 'NA'}"
16,98952_201210,,"{'text': 'До 2017 року розмір цих виплат зросте ще вдвічі.', 'cmp_code': '504', 'eu_code': 'NA'}"
17,98952_201210,,"{'text': 'У кожній області відкриється перинатальний центр, будуть переоснащені пологові будинки.', 'cmp_code': '504', 'eu_code': 'NA'}"
18,98952_201210,,"{'text': 'ОСВІТА – ІНВЕСТИЦІЇ В МАЙБУТНЄ', 'cmp_code': 'H', 'eu_code': 'NA'}"
19,98952_201210,,"{'text': 'Якісна освіта сьогодні – це процвітання держави в майбутньому.', 'cmp_code': '506', 'eu_code': 'NA'}"
20,98952_201210,,"{'text': 'Покращення якості освіти включатиме: //- забезпечення держзамовленням щонайменше 75% місць у ВНЗ;', 'cmp_code': '506', 'eu_code': 'NA'}"
21,98952_201210,,"{'text': '- виплату стипендій на рівні мінімальної зарплати;', 'cmp_code': '506', 'eu_code': 'NA'}"
22,98952_201210,,"{'text': 'збільшення зарплати освітянам щонайменше на 20% щороку;', 'cmp_code': '701', 'eu_code': 'NA'}"
23,98952_201210,,"{'text': 'повну комп’ютеризацію та підключення всіх шкіл до Інтернету', 'cmp_code': '411', 'eu_code': 'NA'}"
24,98952_201210,,"{'text': 'ПРАЦЮВАТИ В УКРАЇНІ КОМФОРТНО І ПРЕСТИЖНО', 'cmp_code': 'H', 'eu_code': 'NA'}"
25,98952_201210,,"{'text': 'Кожен українець матиме гідну зарплату та можливості працевлаштування.', 'cmp_code': '701', 'eu_code': 'NA'}"
26,98952_201210,,"{'text': 'Будуть створені нові робочі місця за рахунок:- 100% компенсації роботодавцю єдиного соціального внеску при працевлаштуванні інвалідів, сиріт, одиноких матерів та людей, старших за 50 років;', 'cmp_code': '503', 'eu_code': 'NA'}"
27,98952_201210,,"{'text': '- навчання безробітних актуальним професіям;', 'cmp_code': '411', 'eu_code': 'NA'}"
28,98952_201210,,"{'text': '- забезпечення молодих спеціалістів першим робочим місцем', 'cmp_code': '701', 'eu_code': 'NA'}"
29,98952_201210,,"{'text': 'стажування студентів із подальшим працевлаштуванням.', 'cmp_code': '701', 'eu_code': 'NA'}"
30,98952_201210,,"{'text': 'Стабільно зростатимуть доходи громадян, середня зарплата у 2017 році сягне 8000 грн.', 'cmp_code': '701', 'eu_code': 'NA'}"
31,98952_201210,,"{'text': 'ЗДОРОВ’Я ЛЮДЕЙ – ОСНОВА ДОБРОБУТУ', 'cmp_code': 'H', 'eu_code': 'NA'}"
32,98952_201210,,"{'text': 'Забезпечимо якісну та доступну медичну допомогу.', 'cmp_code': '504', 'eu_code': 'NA'}"
33,98952_201210,,"{'text': 'Гарантуємо:- середню зарплату в системі охорони здоров’я не менше 8000 грн для лікарів та 5500 грн для медперсоналу;', 'cmp_code': '701', 'eu_code': 'NA'}"
34,98952_201210,,"{'text': '- зниження цін на ліки першої необхідності на 30%;', 'cmp_code': '412', 'eu_code': 'NA'}"
35,98952_201210,,"{'text': '- 100% забезпечення ліками хворих на онкологічні, серцево-судинні захворювання, туберкульоз, ВІЛ/СНІД;', 'cmp_code': '504', 'eu_code': 'NA'}"
36,98952_201210,,"{'text': '- забезпечення всіх сільських районів пересувними амбулаторіями.', 'cmp_code': '504', 'eu_code': 'NA'}"
37,98952_201210,,"{'text': 'Забезпечимо людей з обмеженими фізичними можливостями належним лікуванням та необхідними технічними засобами реабілітації.', 'cmp_code': '504', 'eu_code': 'NA'}"
38,98952_201210,,"{'text': 'Створимо умови для здорового способу життя: в кожному регіоні запрацюють нові басейни, стадіони, льодові арени та спортивні майданчики.', 'cmp_code': '502', 'eu_code': 'NA'}"
39,98952_201210,,"{'text': 'ЗАБЕЗПЕЧЕНІ ЛЮДИ ПЕНСІЙНОГО ВІКУ', 'cmp_code': 'H', 'eu_code': 'NA'}"
40,98952_201210,,"{'text': 'Задля створення гідних умов життя для людей літнього віку:- повністю компенсуємо до 2017 року всі вклади Ощадбанку СРСР до 5000 грн;', 'cmp_code': '504', 'eu_code': 'NA'}"
41,98952_201210,,"{'text': '- мінімальна пенсія буде на 20% вища за прожитковий мінімум;', 'cmp_code': '504', 'eu_code': 'NA'}"
42,98952_201210,,"{'text': '- суттєво підвищимо розміри пенсій військовослужбовцям.', 'cmp_code': '104', 'eu_code': 'NA'}"
43,98952_201210,,"{'text': 'працівникам правоохоронних органів.', 'cmp_code': '605.1', 'eu_code': 'NA'}"
44,98952_201210,,"{'text': 'КОМФОРТНЕ ТА ДОСТУПНЕ ЖИТЛО', 'cmp_code': 'H', 'eu_code': 'NA'}"
45,98952_201210,,"{'text': 'Забезпечимо доступним житлом молоді сім’ї, лікарів, учителів, військовослужбовців, працівників правоохоронних органів за рахунок щорічного будівництва 100 000 квартир.', 'cmp_code': '504', 'eu_code': 'NA'}"
46,98952_201210,,"{'text': 'ЧИСТЕ ДОВКІЛЛЯ', 'cmp_code': 'H', 'eu_code': 'NA'}"
47,98952_201210,,"{'text': 'Поліпшимо екологічну ситуацію за рахунок:- завершення будівництва об’єкта «Укриття» на ЧАЕС до 2015 року;', 'cmp_code': '501', 'eu_code': 'NA'}"
48,98952_201210,,"{'text': '- 20 000 систем централізованого очищення питної води;', 'cmp_code': '501', 'eu_code': 'NA'}"
49,98952_201210,,"{'text': '- будівництва екологічних сміттєпереробних заводів у кожному регіоні.', 'cmp_code': '501', 'eu_code': 'NA'}"
50,98952_201210,,"{'text': 'ЕКОНОМІЧНЕ ЗРОСТАННЯ – ЗАПОРУКА ВИСОКИХ СОЦІАЛЬНИХ СТАНДАРТІВ', 'cmp_code': 'H', 'eu_code': 'NA'}"
51,98952_201210,,"{'text': 'Партія регіонів приділяє особливу увагу економічному розвитку країни.', 'cmp_code': '410', 'eu_code': 'NA'}"
52,98952_201210,,"{'text': 'Наша мета – створення в Україні сучасної ефективної економіки.', 'cmp_code': '410', 'eu_code': 'NA'}"
53,98952_201210,,"{'text': 'СУЧАСНА ЕКОНОМІКА //|H', 'cmp_code': 'H', 'eu_code': 'NA'}"
54,98952_201210,,"{'text': 'Ми прямуємо до створення високопродуктивної інноваційної економіки.', 'cmp_code': '411', 'eu_code': 'NA'}"
55,98952_201210,,"{'text': 'Забезпечимо:- зростання ВВП – щонайменше 5% на рік;', 'cmp_code': '410', 'eu_code': 'NA'}"
56,98952_201210,,"{'text': '- стабільність національної валюти.', 'cmp_code': '414', 'eu_code': 'NA'}"
57,98952_201210,,"{'text': 'Це буде реалізовано за рахунок:- поетапного зниження податку на прибуток підприємств до 16% у 2014 році;', 'cmp_code': '402', 'eu_code': 'NA'}"
58,98952_201210,,"{'text': 'запровадження податкових канікул для ІТ та інноваційних проектів терміном на 10 років;  надання вітчизняному виробнику доступних банківських кредитів.', 'cmp_code': '402', 'eu_code': 'NA'}"
59,98952_201210,,"{'text': 'ЕФЕКТИВНА ЕНЕРГЕТИКА, ЕНЕРГЕТИЧНА НЕЗАЛЕЖНІСТЬ', 'cmp_code': 'H', 'eu_code': 'NA'}"
60,98952_201210,,"{'text': 'Україна позбудеться залежності від імпорту енергоносіїв.', 'cmp_code': '404', 'eu_code': 'NA'}"
61,98952_201210,,"{'text': 'Ми збільшимо видобуток власного вугілля, нафти та сланцевого газу.', 'cmp_code': '406', 'eu_code': 'NA'}"
62,98952_201210,,"{'text': 'Розпочнемо розробку шельфових газових родовищ.', 'cmp_code': '406', 'eu_code': 'NA'}"
63,98952_201210,,"{'text': 'Розширимо використання енергії сонця, вітру та води.', 'cmp_code': '416.2', 'eu_code': 'NA'}"
64,98952_201210,,"{'text': 'Модернізуємо теплоелектростанції для ефективного використання вітчизняного вугілля та інших видів палива.', 'cmp_code': '411', 'eu_code': 'NA'}"
65,98952_201210,,"{'text': 'НОВЕ ЖИТТЯ УКРАЇНСЬКОГО СЕЛА', 'cmp_code': 'H', 'eu_code': 'NA'}"
66,98952_201210,,"{'text': 'Україна повністю забезпечить себе вітчизняними продуктами харчування, стане потужним експортером продовольства завдяки: - створенню 1500 сільськогосподарських кооперативів;', 'cmp_code': '703.1', 'eu_code': 'NA'}"
67,98952_201210,,"{'text': '- будівництву нових елеваторів, овоче- та фруктосховищ;', 'cmp_code': '411', 'eu_code': 'NA'}"
68,98952_201210,,"{'text': '- встановленню ціни на земельний пай не менше 20000 грн за гектар і оренди не нижче 1000 грн за гектар;', 'cmp_code': '703.1', 'eu_code': 'NA'}"
69,98952_201210,,"{'text': '- розбудові соціальної інфраструктури сільської місцевості (автодоріг, лікарень та шкіл, газифікації сіл).', 'cmp_code': '411', 'eu_code': 'NA'}"
70,98952_201210,,"{'text': 'УКРАЇНІ – СУЧАСНУ ІНФРАСТРУКТУРУ', 'cmp_code': 'H', 'eu_code': 'NA'}"
71,98952_201210,,"{'text': 'Розвинена та якісна інфраструктура – запорука динамічного розвитку економіки.', 'cmp_code': '411', 'eu_code': 'NA'}"
72,98952_201210,,"{'text': 'Оновлення інфраструктури передбачає: - будівництво сучасних автомобільних доріг, які б дали змогу потрапити з заходу на схід України за 14 годин;', 'cmp_code': '411', 'eu_code': 'NA'}"
73,98952_201210,,"{'text': '- нове швидкісне залізничне сполучення між столицею та регіонами;', 'cmp_code': '411', 'eu_code': 'NA'}"
74,98952_201210,,"{'text': '- доступні авіаперельоти для кожного українця;', 'cmp_code': '411', 'eu_code': 'NA'}"
75,98952_201210,,"{'text': '- реконструкцію та будівництво аеропортів, морських і річкових портів, залізничних вокзалів;', 'cmp_code': '411', 'eu_code': 'NA'}"
76,98952_201210,,"{'text': '- будівництво нових станцій метро та розвиток комунального транспорту.', 'cmp_code': '411', 'eu_code': 'NA'}"
77,98952_201210,,"{'text': 'ЕФЕКТИВНА ДЕРЖАВА: ВІДПОВІДАЛЬНА ВЛАДА ТА ВІДКРИТЕ СУСПІЛЬСТВО', 'cmp_code': 'H', 'eu_code': 'NA'}"
78,98952_201210,,"{'text': 'Суспільство добробуту забезпечується належним рівнем громадянських свобод', 'cmp_code': '201.2', 'eu_code': 'NA'}"
79,98952_201210,,"{'text': 'та необхідними зусиллями влади для гарантування безпеки держави і громадянина.', 'cmp_code': '605.1', 'eu_code': 'NA'}"
80,98952_201210,,"{'text': 'КРАЇНА ВІЛЬНИХ ЛЮДЕЙ //|H', 'cmp_code': 'H', 'eu_code': 'NA'}"
81,98952_201210,,"{'text': 'Наш пріоритет – можливість людини вільно розвиватися в усіх сферах.', 'cmp_code': '201.1', 'eu_code': 'NA'}"
82,98952_201210,,"{'text': 'Ми виступаємо за:- інтелектуальну свободу;', 'cmp_code': '201.1', 'eu_code': 'NA'}"
83,98952_201210,,"{'text': '- свободу слова;', 'cmp_code': '201.2', 'eu_code': 'NA'}"
84,98952_201210,,"{'text': '- рівні можливості для жінок та чоловіків в усіх сферах життя;', 'cmp_code': '503', 'eu_code': 'NA'}"
85,98952_201210,,"{'text': '- законодавче забезпечення права громадян на рідну мову;', 'cmp_code': '607.1', 'eu_code': 'NA'}"
86,98952_201210,,"{'text': '- надання російській мові статусу другої державної.', 'cmp_code': '607.1', 'eu_code': 'NA'}"
87,98952_201210,,"{'text': 'СИЛЬНІ РЕГІОНИ – ПРОЦВІТАЮЧА //|H', 'cmp_code': 'H', 'eu_code': 'NA'}"
88,98952_201210,,"{'text': 'Держава процвітатиме, якщо будуть потужними її регіони.', 'cmp_code': '301', 'eu_code': 'NA'}"
89,98952_201210,,"{'text': 'З метою подальшого розвитку місцевого самоврядування:- будуть розширені повноваження органів місцевого самоврядування;', 'cmp_code': '301', 'eu_code': 'NA'}"
90,98952_201210,,"{'text': '- 60% зведеного державного бюджету – місцевим радам.', 'cmp_code': '301', 'eu_code': 'NA'}"
91,98952_201210,,"{'text': 'ЕФЕКТИВНІ ПРАВООХОРОННІ ОРГАНИ ТА БОЄЗДАТНА АРМІЯ', 'cmp_code': 'H', 'eu_code': 'NA'}"
92,98952_201210,,"{'text': 'Україна повинна мати силові структури європейського зразка.', 'cmp_code': '104', 'eu_code': 'NA'}"
93,98952_201210,,"{'text': 'Ми забезпечимо:- ефективну контрактну армію;', 'cmp_code': '104', 'eu_code': 'NA'}"
94,98952_201210,,"{'text': '- скасування обов’язкового призову з 1 січня 2014 року.', 'cmp_code': '104', 'eu_code': 'NA'}"
95,98952_201210,,"{'text': 'УКРАЇНІ – СВІТОВЕ ВИЗНАННЯ', 'cmp_code': 'H', 'eu_code': 'NA'}"
96,98952_201210,,"{'text': 'У міжнародній політиці виступаємо за:- збереження позаблокового статусу України – гарантію безпеки кожного громадянина;', 'cmp_code': '106', 'eu_code': 'NA'}"
97,98952_201210,,"{'text': '- здобуття асоційованого членства в Євросоюзі, створення зони вільної торгівлі, зняття візових бар’єрів між Україною та ЄС;', 'cmp_code': '108', 'eu_code': 'NA'}"
98,98952_201210,,"{'text': '- посилення економічної співпраці в рамках зони вільної торгівлі з країнами СНД;', 'cmp_code': '107', 'eu_code': 'NA'}"
99,98952_201210,,"{'text': '- стратегічне партнерство з Росією,', 'cmp_code': '101', 'eu_code': 'NA'}"
100,98952_201210,,"{'text': 'США, Китаєм', 'cmp_code': '107', 'eu_code': 'NA'}"
101,98952_201210,,"{'text': '- відкриття для України ринків країн «Великої двадцятки» та країн, що розвиваються;', 'cmp_code': '407', 'eu_code': 'NA'}"
102,98952_201210,,"{'text': '- реалізацію конкурентних переваг країни для здобуття права на проведення спортивних та культурних заходів європейського і світового рівнів.', 'cmp_code': '411', 'eu_code': 'NA'}"
